epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.40664592385292053,
0,99,,0.42185115814208984,
0,149,,0.3256017863750458,
0,199,,0.34139254689216614,
0,249,,0.31080174446105957,
0,299,,0.3583628535270691,
0,349,,0.2690531611442566,
0,399,,0.4650333821773529,
0,449,,0.34037280082702637,
0,499,,0.27912670373916626,
0,545,,,0.34614214301109314
0,545,0.3401387333869934,,
1,549,,0.38901838660240173,
1,599,,0.3506286144256592,
1,649,,0.2571762204170227,
1,699,,0.23122446238994598,
1,749,,0.2124314308166504,
1,799,,0.29146039485931396,
1,849,,0.29664313793182373,
1,899,,0.2808813452720642,
1,949,,0.30875805020332336,
1,999,,0.29666003584861755,
1,1049,,0.2221623957157135,
1,1091,,,0.3216557502746582
1,1091,0.29064321517944336,,
2,1099,,0.18958719074726105,
