mode,corruption,corruption_lead_idx,subset_size,selected_leads,test_loss,test_auroc,test_auprc,test_f1
clean,,,12,all,0.2843107283115387,0.9215493202209473,0.8115274310112,0.7283816337585449
corrupted,ra_la_reversal,,12,all,0.8882126808166504,0.7529950141906738,0.5377671122550964,0.37839874625205994
corrupted,ra_ll_reversal,,12,all,1.446461796760559,0.6410866379737854,0.44413095712661743,0.33234739303588867
corrupted,la_ll_reversal,,12,all,0.3895244598388672,0.8707376718521118,0.7065609693527222,0.6542271375656128
corrupted,v1_v2_swap,,12,all,0.29935917258262634,0.9148050546646118,0.8008040189743042,0.7161355018615723
corrupted,v2_v3_swap,,12,all,0.2932710349559784,0.9164072871208191,0.8034811019897461,0.7223203182220459
corrupted,single_lead_polarity_inversion,0,12,all,0.34158676862716675,0.9032514691352844,0.7691330909729004,0.6799276471138
corrupted,single_lead_polarity_inversion,1,12,all,0.37586838006973267,0.904954731464386,0.782538890838623,0.6618995666503906
corrupted,single_lead_polarity_inversion,2,12,all,0.3737807273864746,0.8938981890678406,0.7637678980827332,0.670327365398407
corrupted,single_lead_polarity_inversion,3,12,all,0.3761312961578369,0.9072472453117371,0.7757825255393982,0.6583496928215027
corrupted,single_lead_polarity_inversion,4,12,all,0.31899958848953247,0.9092249870300293,0.7877832651138306,0.6924661993980408
corrupted,single_lead_polarity_inversion,5,12,all,0.327750027179718,0.9060813188552856,0.7862175703048706,0.6929328441619873
corrupted,single_lead_polarity_inversion,6,12,all,0.7830243706703186,0.797234833240509,0.5892951488494873,0.4816029667854309
corrupted,single_lead_polarity_inversion,7,12,all,0.46225419640541077,0.8772811889648438,0.7207491993904114,0.5961848497390747
corrupted,single_lead_polarity_inversion,8,12,all,0.362997829914093,0.8990982174873352,0.765421986579895,0.6789330244064331
corrupted,single_lead_polarity_inversion,9,12,all,0.3560185432434082,0.9004443883895874,0.7730399370193481,0.6677103042602539
corrupted,single_lead_polarity_inversion,10,12,all,0.4048798680305481,0.8756471872329712,0.7208389043807983,0.583132803440094
corrupted,single_lead_polarity_inversion,11,12,all,0.39058396220207214,0.8807817697525024,0.7263553738594055,0.5887832641601562
