corruption,corruption_lead_idx,leads,test_loss,test_auroc,test_auprc,test_f1,checkpoint
,,all,0.28167450428009033,0.9235784411430359,0.8142004013061523,0.7253242135047913,experiment1
ra_la_swap,,all,0.39127013087272644,0.8881961703300476,0.7464377880096436,0.617116391658783,experiment1
ra_ll_swap,,all,1.2618085145950317,0.6835381984710693,0.48105117678642273,0.32434216141700745,experiment1
la_ll_swap,,all,0.3991323411464691,0.8627762198448181,0.7013918161392212,0.6422962546348572,experiment1
v1_v2_swap,,all,0.2940961718559265,0.9180640578269958,0.8056322336196899,0.7207571268081665,experiment1
v2_v3_swap,,all,0.2993547022342682,0.9154945611953735,0.8011641502380371,0.7127458453178406,experiment1
single_lead_polarity_inversion,0,all,0.3117571473121643,0.9106034636497498,0.779927670955658,0.6819100975990295,experiment1
single_lead_polarity_inversion,1,all,0.3750442862510681,0.901136577129364,0.7708009481430054,0.6429612040519714,experiment1
single_lead_polarity_inversion,2,all,0.3449597954750061,0.9037357568740845,0.7799727320671082,0.6645291447639465,experiment1
single_lead_polarity_inversion,3,all,0.3328385055065155,0.9146329164505005,0.7925066947937012,0.6837114691734314,experiment1
single_lead_polarity_inversion,4,all,0.3175605237483978,0.9085893630981445,0.7842898964881897,0.67330002784729,experiment1
single_lead_polarity_inversion,5,all,0.3241291344165802,0.9065467119216919,0.7853536605834961,0.6861695051193237,experiment1
single_lead_polarity_inversion,6,all,0.6630603671073914,0.7918567061424255,0.601706862449646,0.528066098690033,experiment1
single_lead_polarity_inversion,7,all,0.4763372540473938,0.8794121742248535,0.7116656303405762,0.5642418265342712,experiment1
single_lead_polarity_inversion,8,all,0.38944217562675476,0.9011350870132446,0.7725315093994141,0.6491681933403015,experiment1
single_lead_polarity_inversion,9,all,0.370557963848114,0.9071279764175415,0.7821137309074402,0.6644429564476013,experiment1
single_lead_polarity_inversion,10,all,0.36726251244544983,0.8874256014823914,0.7362141013145447,0.591188907623291,experiment1
single_lead_polarity_inversion,11,all,0.3626052141189575,0.8948945999145508,0.7441744208335876,0.5969285368919373,experiment1
