epoch,step,test_auprc,test_auroc,test_f1,test_loss,train_loss,val_auprc,val_auroc,val_f1,val_loss
0,545,,,,,,0.7667965292930603,0.9078880548477173,0.6751089096069336,0.30483803153038025
0,545,,,,,0.3372461497783661,,,,
1,1091,,,,,,0.7927084565162659,0.9191152453422546,0.7064438462257385,0.30208128690719604
1,1091,,,,,0.29049819707870483,,,,
2,1637,,,,,,0.7994063496589661,0.9208745956420898,0.6803534626960754,0.2948259115219116
2,1637,,,,,0.27360987663269043,,,,
3,2183,,,,,,0.7988207340240479,0.9232606291770935,0.7084232568740845,0.29018378257751465
3,2183,,,,,0.2624628245830536,,,,
4,2729,,,,,,0.8020380139350891,0.9268175959587097,0.7300682663917542,0.3023897111415863
4,2729,,,,,0.25471845269203186,,,,
5,3275,,,,,,0.8036079406738281,0.9244877099990845,0.7221000790596008,0.285719096660614
5,3275,,,,,0.25022831559181213,,,,
6,3821,,,,,,0.8125725984573364,0.9283689856529236,0.7149710059165955,0.2781127095222473
6,3821,,,,,0.24341650307178497,,,,
7,4367,,,,,,0.8051636815071106,0.926325798034668,0.7213997840881348,0.29337170720100403
7,4367,,,,,0.2375272512435913,,,,
8,4913,,,,,,0.8073440790176392,0.9265355467796326,0.7147340774536133,0.2835828959941864
8,4913,,,,,0.23287193477153778,,,,
9,5459,,,,,,0.812441349029541,0.9281533360481262,0.7287969589233398,0.2774459719657898
9,5459,,,,,0.22545059025287628,,,,
10,5460,0.8142004013061523,0.9235784411430359,0.7253242135047913,0.28167450428009033,,,,,
