Candidate,Trial Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
I,"V5,II,V1,aVL,V2,I",0.7264003157615662,0.9220226407051086,0.8110882043838501,0.0,0.7264003157615662
III,"V5,II,V1,aVL,V2,III",0.7066522836685181,0.9192935824394226,0.8052442669868469,0.0,0.7066522836685181
aVR,"V5,II,V1,aVL,V2,aVR",0.715242862701416,0.9218521118164062,0.8081514239311218,0.0,0.715242862701416
aVF,"V5,II,V1,aVL,V2,aVF",0.7226435542106628,0.9190777540206909,0.8086520433425903,0.0,0.7226435542106628
V3,"V5,II,V1,aVL,V2,V3",0.7185550928115845,0.921873927116394,0.8106029629707336,0.0,0.7185550928115845
V4,"V5,II,V1,aVL,V2,V4",0.714383602142334,0.9212778210639954,0.8087183237075806,0.0,0.714383602142334
V6,"V5,II,V1,aVL,V2,V6",0.7268648743629456,0.9200393557548523,0.8023715019226074,0.0,0.7268648743629456
