Candidate,Trial Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
I,"V5,II,I",0.6914633512496948,0.9025467038154602,0.7784813046455383,0.0,0.6914633512496948
III,"V5,II,III",0.690068244934082,0.8968539237976074,0.7678514719009399,0.0,0.690068244934082
aVR,"V5,II,aVR",0.6548827290534973,0.8860285878181458,0.7445888519287109,0.0,0.6548827290534973
aVL,"V5,II,aVL",0.6765093803405762,0.8995510935783386,0.774539589881897,0.0,0.6765093803405762
aVF,"V5,II,aVF",0.6744087934494019,0.8878611326217651,0.74043869972229,0.0,0.6744087934494019
V1,"V5,II,V1",0.7041140794754028,0.9100586175918579,0.7818095088005066,0.0,0.7041140794754028
V2,"V5,II,V2",0.6783149242401123,0.9003139734268188,0.7653002738952637,0.0,0.6783149242401123
V3,"V5,II,V3",0.6809625625610352,0.8936223983764648,0.7508740425109863,0.0,0.6809625625610352
V4,"V5,II,V4",0.6601049304008484,0.8905875086784363,0.7499275207519531,0.0,0.6601049304008484
V6,"V5,II,V6",0.6555365324020386,0.8853445053100586,0.743739128112793,0.0,0.6555365324020386
