Subset Size,Selected Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
1,['V5'],0.6057614088058472,0.8572882413864136,0.692720890045166,0.0,0.6057614088058472
3,"['V5', 'II', 'V1']",0.7041140794754028,0.9100586175918579,0.7818095088005066,0.0,0.7041140794754028
6,"['V5', 'II', 'V1', 'aVL', 'V2', 'V6']",0.7268648743629456,0.9200393557548523,0.8023715019226074,0.0,0.7268648743629456
