Candidate,Trial Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
I,"V5,II,V1,aVL,I",0.6858760118484497,0.9131463766098022,0.7906686067581177,0.0,0.6858760118484497
III,"V5,II,V1,aVL,III",0.7092660665512085,0.9193393588066101,0.8016945123672485,0.0,0.7092660665512085
aVR,"V5,II,V1,aVL,aVR",0.7124757766723633,0.9184376001358032,0.8002500534057617,0.0,0.7124757766723633
aVF,"V5,II,V1,aVL,aVF",0.7005254030227661,0.9182584881782532,0.8011865615844727,0.0,0.7005254030227661
V2,"V5,II,V1,aVL,V2",0.7169791460037231,0.9210605621337891,0.8078678846359253,0.0,0.7169791460037231
V3,"V5,II,V1,aVL,V3",0.7057725191116333,0.9155566096305847,0.7969152331352234,0.0,0.7057725191116333
V4,"V5,II,V1,aVL,V4",0.7154020667076111,0.9206854104995728,0.806495189666748,0.0,0.7154020667076111
V6,"V5,II,V1,aVL,V6",0.6908307671546936,0.9127044677734375,0.7896828651428223,0.0,0.6908307671546936
