Candidate,Trial Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
I,"V5,II,V1,I",0.7106575965881348,0.9159582853317261,0.7998243570327759,0.0,0.7106575965881348
III,"V5,II,V1,III",0.7113882303237915,0.9168423414230347,0.7993488311767578,0.0,0.7113882303237915
aVR,"V5,II,V1,aVR",0.6907474994659424,0.9092933535575867,0.7847612500190735,0.0,0.6907474994659424
aVL,"V5,II,V1,aVL",0.7188302874565125,0.916693389415741,0.7990244626998901,0.0,0.7188302874565125
aVF,"V5,II,V1,aVF",0.6611862778663635,0.906794548034668,0.7739709615707397,0.0,0.6611862778663635
V2,"V5,II,V1,V2",0.6821987628936768,0.9106036424636841,0.7846012711524963,0.0,0.6821987628936768
V3,"V5,II,V1,V3",0.6944826245307922,0.9121332168579102,0.7874125242233276,0.0,0.6944826245307922
V4,"V5,II,V1,V4",0.6864746809005737,0.9100845456123352,0.7843675017356873,0.0,0.6864746809005737
V6,"V5,II,V1,V6",0.7086384296417236,0.9093872308731079,0.7859525680541992,0.0,0.7086384296417236
