Candidate,Trial Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
I,"V5,I",0.6369353532791138,0.8756808042526245,0.7280496954917908,0.0,0.6369353532791138
II,"V5,II",0.6634361743927002,0.884432315826416,0.7437692880630493,0.0,0.6634361743927002
III,"V5,III",0.6140750646591187,0.8772680163383484,0.7235342860221863,0.0,0.6140750646591187
aVR,"V5,aVR",0.6408958435058594,0.876266598701477,0.7228005528450012,0.0,0.6408958435058594
aVL,"V5,aVL",0.6341650485992432,0.8810761570930481,0.7351365089416504,0.0,0.6341650485992432
aVF,"V5,aVF",0.6522861123085022,0.8870067596435547,0.7413110733032227,0.0,0.6522861123085022
V1,"V5,V1",0.6553312540054321,0.8868585824966431,0.7436932325363159,0.0,0.6553312540054321
V2,"V5,V2",0.6353347301483154,0.877602219581604,0.7298742532730103,0.0,0.6353347301483154
V3,"V5,V3",0.62572181224823,0.8747768402099609,0.7237868309020996,0.0,0.62572181224823
V4,"V5,V4",0.63474041223526,0.8725070953369141,0.7255252599716187,0.0,0.63474041223526
V6,"V5,V6",0.6331486105918884,0.8669760823249817,0.7102943658828735,0.0,0.6331486105918884
